0,73,Armando Broja,Chelsea,1,15.4,0.08,2.4,-1.4,0
0,74,Armando Broja,Fulham,0,0,0,0,0,0
0,75,Andre Brooks,Sheffield Utd,0,20,0,0.2,-0.2,0
0,76,David Brooks,Bournemouth,1,38.5,0.08,2.2,-1.2,0
0,77,Jacob Brown,Luton Town,2,23.1,0.08,2.8,-0.8,0
0,78,Josh Brownhill,Burnley,3,36,0.12,1.6,1.4,0
0,79,Jacob Bruun Larsen,Burnley,4,31,0.1,3.6,0.4,0
0,80,Hugo Bueno,Wolves,0,0,0,0.2,-0.2,0
0,81,Santiago Bueno,Wolves,0,0,0,0,0,0
0,82,Facundo Buonanotte,Brighton,3,38.9,0.17,2,1,0
0,83,Reece Burke,Luton Town,0,25,0,1.3,-1.3,0
0,84,Dan Burn,Newcastle Utd,2,29.4,0.12,2.5,-0.5,0
0,85,Mason Burstow,Chelsea,0,0,0,0,0,0
0,86,Mois̩s Caicedo,Chelsea,0,12.5,0,0.3,-0.3,0
0,87,Tom Cairney,Fulham,1,40,0.07,1,0,0
0,88,Dominic Calvert-Lewin,Everton,5,35.6,0.07,10.9,-5.9,0
0,89,Thomas Cannon,Everton,0,0,0,0,0,0
0,90,Diego Carlos,Aston Villa,0,14.3,0,0.9,-0.9,0
0,91,Cesare Casadei,Chelsea,0,0,0,0,0,0
0,92,Casemiro,Manchester Utd,1,21.4,0.04,2.7,-1.7,0
0,93,Matty Cash,Aston Villa,2,41.9,0.06,4.1,-2.1,0
0,94,Timothy Castagne,Fulham,0,25,0,1.4,-1.4,0
0,95,Jonny Castro,Wolves,0,0,0,0,0,0
0,96,Trevoh Chalobah,Chelsea,0,0,0,0,0,0
0,97,Calum Chambers,Aston Villa,0,0,0,0,0,0
0,98,Youssef Chermiti,Everton,0,25,0,0.5,-0.5,0
0,99,Ben Chilwell,Chelsea,0,27.3,0,1.2,-1.2,0
0,100,Tawanda Chirewa,Wolves,0,0,0,0.1,-0.1,0
0,101,Leon Chiwome,Wolves,0,0,0,0.1,-0.1,0
0,102,Tahith Chong,Luton Town,4,25.9,0.15,2.5,1.5,0
